,character,text,number,types
1172,ALDOR," This is all we could save, my lady.",2,male
536,ARAGORN, Their pace has quickened.,2,male
537,ARAGORN, Not idly do the leaves of Lórien fall.,2,male
538,ARAGORN, Less than a day ahead of us. Come.,2,male
539,ARAGORN, Rohan. Home of the Horse-lords. There’s something strange at work here. Some evil gives speed to these creatures. Sets its will against us.,2,male
540,ARAGORN, Saruman.,2,male
541,ARAGORN," Riders of Rohan, what news from the Mark?",2,male
542,ARAGORN," I am Aragorn, son of Arathorn. This is Gimli, son of Glóin and Legolas of the Woodland Realm. We are friends of Rohan and of Théoden, your king.",2,male
543,ARAGORN, We are no spies. We track a party of Uruk-Hai westward across the plain. They have taken two of our friends captive.,2,male
544,ARAGORN, They would be small. Only children to your eyes.,2,male
545,ARAGORN, A Hobbit lay here. And the other.,2,male
546,ARAGORN, The tracks lead away from the battle...,2,male
547,ARAGORN, These are strange tracks.,2,male
548,ARAGORN, Gimli!,2,male
549,ARAGORN, Man cenich? What do you see?,2,male
550,ARAGORN, Do not let him speak. He will put a spell on us.,2,male
551,ARAGORN, Where are they?,2,male
552,ARAGORN, Who are you? Show yourself!,2,male
553,ARAGORN, It cannot be.,2,male
554,ARAGORN, You fell.,2,male
555,ARAGORN, Gandalf.,2,male
556,ARAGORN, We hear of trouble in Rohan. It goes ill with the king.,2,male
557,ARAGORN," In one thing you have not changed, dear friend.",2,male
558,ARAGORN, He’s not alone. Sam went with him.,2,male
559,ARAGORN, Wait.,2,male
560,ARAGORN," No, my lord! No, my lord. Let him go. Enough blood has been spilt on his account.",2,male
561,ARAGORN, You have 2000 good men riding north as we speak. Éomer is loyal to you. His men will return and fight for their king.,2,male
562,ARAGORN," Open war is upon you, whether you would risk it or not.",2,male
563,ARAGORN, He’s only doing what he thinks is best for his people. Helm’s Deep has saved them in the past.,2,male
564,ARAGORN, They will hold.,2,male
565,ARAGORN, Go.,2,male
566,ARAGORN," Fæste, stille nú...fæste... Fast, be quiet now...fast...",2,male
567,ARAGORN, Brego. Ðin nama is cynglic. Your name is kingly.,2,male
568,ARAGORN, I was raised in Rivendell ... for a time. Turn this fellow free. He’s seen enough of war.,2,male
569,ARAGORN, You have some skill with a blade.,2,male
570,ARAGORN," What do you fear, my lady?",2,male
571,ARAGORN," You’re a daughter of kings, a shieldmaiden of Rohan.",2,male
572,ARAGORN, It’s the beards.,2,male
573,ARAGORN, Thank you.,2,male
574,ARAGORN, King Théoden has a good memory. He was only a small child at the time.,2,male
575,ARAGORN, Eighty-seven.,2,male
