character,text,gender
ALFRED, Perhaps they would’ve if you haven’t made a sideshow of yourself.,male
ALFRED, Wrong?,male
ALFRED, You don’t. You lead a bloated police force on a merry chase with some fancy new toys from Fox. What about when you come up against him. What then?,male
ALFRED, When you had something to fight for. What are you fighting for now? Not your life.,male
ALFRED," Take a good look. At his speed, his ferocity, His training. I see the power of belief. Of the fanatic. I see the League of Shadows resurgent.",male
ALFRED, By Ra’s al Ghul. Who leads them now?,male
ALFRED, Is that -?,male
ALFRED, I’ll get this to Fox. But no more.,male
ALFRED, I’ve sewn you up and set your bones...but I won’t bury you. I’ve buried enough members of the Wayne family.,male
ALFRED, You see only one end to your story. Leaving is all I have to make you understand: you aren’t Batman anymore - you have to find another way. You used to talk about finishing. About life beyond that awful cave -,male
ALFRED, What if he had? What if she wasn’t intending to make a life with you?,male
ALFRED," What if, before she died, she’d written a letter? Explaining that she’d chosen Harvey Dent over you?",male
ALFRED," And what if, to spare you pain...I’d burned that letter?",male
ALFRED, Because I have to make you understand.,male
ALFRED, Because you are as precious to me as you were to your own mother and father and I swore to them that I would protect you and I haven’t.,male
ALFRED, I’ve never lied to you. Except when I burned Rachel’s letter.,male
ALFRED," I’m using the truth, Master Wayne. Maybe it’s time we all stopped trying to outsmart the truth and just let it have its day. I’m sorry.",male
ALFRED, No. I know what this means -,male
ALFRED, It means your hatred. It means losing the person I’ve cared for ever since I heard his first cries echo through this house. But it might also mean saving your life. And that is more important.,male
ALFRED," Goodbye, Bruce.",male
ALFRED," I’m so sorry. I failed you. You trusted me, and I failed you.",male
ALFRED," Si, Fernet Branca, per cortesia.",male
MIRANDA," It’s important, Mr. Pennyworth.",female
MIRANDA," I could try explaining that a save-the-world project, vain or not, is worth investing in, whatever the return. I could try, Mr. Daggett, but you understand only money and the power you think it buys, so why waste my time, indeed?",female
MIRANDA, I’m only asking for explanations because I think I can help.,female
MIRANDA, He doesn’t talk to you either?,female
MIRANDA," Mr. Fox, are you aware that John Daggett is trying to acquire shares in Wayne Enterprises?",female
MIRANDA," Even before you became a recluse, you never came to these things...",female
MIRANDA," Actually, this is my party, Mr. Wayne.",female
MIRANDA," And the proceeds will go where they should, because I paid for the big fat spread myself.",female
MIRANDA, You have to invest to restore balance to the world. Take our clean-energy project...,female
MIRANDA," You have a practiced apathy, Mr. Wayne. But a man who doesn’t care about the world doesn’t spend half his fortune on a plan to save it... (Gentle.) And isn’t so wounded when it fails that he goes into hiding...",female
MIRANDA," Have a good evening, Mr. Wayne.",female
MIRANDA," You brought me out here to show me a rubbish dump, Mr. Fox?",female
MIRANDA," This is it, isn’t it?",female
MIRANDA, Is Bruce Wayne really that paranoid?,female
MIRANDA," No radiation, no fossil fuels. Free, clean energy for an entire city.",female
MIRANDA, You’ve built a lot of security around a damp squib. About three years ago a Russian scientist published a paper on weaponized fusion reactions. One week later your reactor started developing problems... (Looks at Wayne.) I think this machine works.,female
MIRANDA, Would it make you feel better to know that the Russian scientist died in a plane crash six months ago?,female
